"dbn","school_name","school_type","enrollment","survey_pp_RI","survey_pp_CT","survey_pp_SE","survey_pp_ES","survey_pp_SF","survey_pp_TR","QR_1_1","QR_1_2","QR_2_2","QR_3_4","QR_4_2","QR_1_4","QR_1_3","QR_3_1","QR_4_1","QR_5_1","Dates_of_Review","rating_ela_grade_8_pct_rs","rating_mth_grade_8_pct_rs","gender_female_pct","gender_male_pct","ELL","IEP","cap_sc_pct"
"21K559","Life Academy High School for Film and Music","High School","278","0.71","0.81","0.62","0.86","0.82","0.82","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2018-05-01T00:00:00.000","2.79","2.51","0.547","0.453","0.14","0.209","0"
"21K572","Leaders High School","High School","387","0.68","0.89","0.74","0.97","0.83","0.94","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2019-11-01T00:00:00.000","2.86","2.76","0.468","0.532","0.129","0.204","0"
"21K620","William E. Grady Career and Technical Education Hi","High School","453","0.77","0.92","0.83","0.92","0.87","0.95","Proficient","Developing","Developing","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","2016-11-01T00:00:00.000","2.55","2.41","0.265","0.735","0.079","0.36","0.139"
"21K690","Brooklyn Studio Secondary School","High School","592","0.72","0.69","0.64","0.72","0.84","0.78","Proficient","Proficient","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2017-03-01T00:00:00.000","2.97","2.88","0.486","0.514","0.133","0.193","0.01"
"22K405","Midwood High School","High School","4,054","0.75","0.7","0.71","0.71","0.77","0.81","Proficient","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Developing","Proficient","Proficient","2018-02-01T00:00:00.000","3.51","3.56","0.561","0.439","0.026","0.126","0.023"
"22K425","James Madison High School","High School","3,878","0.77","0.88","0.73","0.89","0.84","0.9","Proficient","Developing","Developing","Well Developed","Developing","Developing","Proficient","Proficient","Developing","Developing","2017-11-01T00:00:00.000","3.09","3.09","0.423","0.577","0.111","0.152","0.039"
"22K535","Leon M. Goldstein High School for the Sciences","High School","977","0.72","0.86","0.78","0.86","0.74","0.85","Proficient","Proficient","Developing","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2016-11-01T00:00:00.000","3.76","3.96","0.553","0.447","0.007","0.175","0.028"
"22K555","Brooklyn College Academy","High School","652","0.85","0.92","0.81","0.92","0.86","0.92","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2016-01-12T00:00:00.000","3.46","3.48","0.656","0.344","0.006","0.153","0"
"22K611","Origins High School","High School","407","0.7","0.87","0.73","0.84","0.87","0.94","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Proficient","2018-03-01T00:00:00.000","2.78","2.52","0.494","0.506","0.27","0.115","0"
"23K493","Brooklyn Collegiate: A College Board School","High School","305","No Data","No Data","No Data","0.95","0.96","0.98","Proficient","Proficient","Developing","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Proficient","2018-04-01T00:00:00.000","2.66","2.33","0.479","0.521","0.062","0.243","0.003"
"23K514","Frederick Douglass Academy VII High School","High School","140","0.85","0.91","0.76","0.98","0.92","0.93","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2017-05-01T00:00:00.000","2.46","2.28","0.493","0.507","0.029","0.307","0.014"
"23K644","Eagle Academy for Young Men II","High School","358","0.98","0.99","1","0.97","0.92","0.94","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Proficient","Well Developed","2019-11-01T00:00:00.000","2.49","2.97","0","1","0.008","0.265","0"
"23K697","Teachers Preparatory High School","High School","163","0.71","0.87","0.66","No Data","No Data","0.77","Proficient","Developing","Developing","Proficient","Developing","Proficient","Proficient","Developing","Proficient","Developing","2017-04-01T00:00:00.000","2.23","2.01","0.423","0.577","0.104","0.436","0.11"
"24Q236","International High School for Health Sciences","High School","291","0.73","0.83","0.78","0.83","0.92","0.87","Proficient","Proficient","Proficient","Proficient","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","2017-03-01T00:00:00.000","2.14","2.27","0.519","0.481","0.739","0.045","0"
"24Q264","Academy of Finance and Enterprise","High School","677","0.82","0.91","0.79","0.89","0.86","0.91","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2019-12-01T00:00:00.000","3.2","3.35","0.505","0.495","0.034","0.118","0.001"
"24Q267","High School of Applied Communication","High School","408","0.71","0.83","0.61","0.82","0.89","0.81","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2019-05-01T00:00:00.000","2.79","2.55","0.441","0.559","0.061","0.174","0"
"24Q293","Civic Leadership Academy","High School","646","0.76","0.76","0.77","0.75","0.81","0.83","Well Developed","Proficient","Proficient","Well Developed","Proficient","Proficient","Well Developed","Well Developed","Proficient","Proficient","2019-12-01T00:00:00.000","3.11","2.97","0.529","0.471","0.067","0.159","0.034"
"24Q296","Pan American International High School","High School","433","0.83","0.9","0.81","0.87","0.92","0.94","Well Developed","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","Proficient","2017-05-01T00:00:00.000","1.87","1.95","0.439","0.561","0.769","0.018","0"
"24Q299","Bard High School Early College Queens","High School","637","0.9","0.82","0.85","0.86","0.87","0.92","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-04-22T00:00:00.000","3.93","4.15","0.639","0.361","0.003","0.085","0"
"24Q455","Newtown High School","High School","1,657","0.78","0.88","0.7","0.9","0.86","0.91","Proficient","Proficient","Developing","Well Developed","Proficient","Proficient","Well Developed","Proficient","Developing","Proficient","2018-03-01T00:00:00.000","2.71","2.59","0.406","0.594","0.233","0.147","0.03"
"24Q485","Grover Cleveland High School","High School","1,683","0.77","0.85","0.76","0.81","0.77","0.85","Proficient","Developing","Developing","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2017-03-01T00:00:00.000","2.68","2.58","0.453","0.547","0.16","0.202","0.071"
"24Q520","Middle College High School at LaGuardia Community","High School","507","0.87","0.77","0.8","0.8","0.81","0.81","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2017-11-01T00:00:00.000","3.02","2.99","0.548","0.452","0.012","0.16","0"
"24Q530","International High School at LaGuardia Community C","High School","519","0.85","0.83","0.64","0.8","0.91","0.83","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2020-02-01T00:00:00.000","2.03","2.38","0.563","0.437","0.545","0.021","0"
"24Q550","High School for Arts and Business","High School","778","0.83","0.95","0.79","0.95","0.94","0.9","Well Developed","Proficient","Proficient","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-03-25T00:00:00.000","2.95","2.85","0.521","0.479","0.078","0.153","0.003"
"24Q560","Robert F. Wagner, Jr. Secondary School for Arts an","High School","493","0.77","0.75","0.89","0.81","0.91","0.9","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Proficient","Proficient","Proficient","2016-11-01T00:00:00.000","3.05","3.09","0.444","0.556","0.022","0.176","0.002"
"24Q585","Maspeth High School","High School","1,232","0.81","0.89","0.76","0.87","0.86","0.89","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-12-08T00:00:00.000","3.27","3.29","0.504","0.496","0.03","0.143","0"
"24Q600","Queens Technical High School","High School","1,461","0.69","0.77","0.72","0.79","0.85","0.84","Proficient","Developing","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","Developing","Proficient","2017-11-01T00:00:00.000","2.97","3","0.389","0.611","0.051","0.176","0.038"
"24Q610","Aviation Career & Technical Education High School","High School","2,064","No Data","No Data","No Data","0.95","0.83","0.93","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2018-10-01T00:00:00.000","3.45","3.71","0.199","0.801","0.025","0.133","0.036"
"25Q240","Veritas Academy","High School","608","No Data","No Data","No Data","0.91","0.78","0.94","Well Developed","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","2018-11-01T00:00:00.000","2.83","2.74","0.531","0.469","0.087","0.184","0.066"
"25Q241","Queens High School for Language Studies","High School","447","0.88","0.96","0.98","0.95","0.88","0.96","Proficient","Developing","Developing","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","2016-12-01T00:00:00.000","3.04","3.12","0.582","0.418","0.199","0.051","0.002"
"25Q252","Queens School of Inquiry, The","High School","347","0.76","0.83","0.7","0.85","0.87","0.89","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","2019-05-01T00:00:00.000","3.23","3.41","0.499","0.501","0.012","0.159","0"
"25Q263","Flushing International High School","High School","449","0.82","0.96","0.84","0.93","0.86","0.96","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Proficient","Well Developed","2018-04-01T00:00:00.000","1.85","2.4","0.423","0.577","0.824","0.022","0"
"25Q281","East-West School of International Studies","High School","365","0.82","0.87","0.78","0.87","0.9","0.88","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","2018-12-01T00:00:00.000","3.07","3.46","0.447","0.553","0.044","0.159","0.014"
"25Q285","World Journalism Preparatory: A College Board Scho","High School","339","No Data","No Data","No Data","0.92","0.85","0.92","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Proficient","2017-12-01T00:00:00.000","3.22","3.03","0.602","0.398","0.024","0.195","0"
"25Q425","John Bowne High School","High School","3,432","0.72","0.78","0.67","0.77","0.82","0.79","Proficient","Proficient","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","Well Developed","Proficient","2017-02-01T00:00:00.000","2.86","2.86","0.501","0.499","0.18","0.153","0.054"
"25Q460","Flushing High School","High School","1,483","0.73","0.79","0.65","0.81","0.81","0.83","Developing","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2018-05-01T00:00:00.000","2.75","2.64","0.489","0.511","0.187","0.124","0.032"
"25Q525","Townsend Harris High School","High School","1,219","0.87","0.76","0.83","0.75","0.87","0.83","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-01-14T00:00:00.000","4.14","4.29","0.653","0.347","0.001","0.073","0"
"25Q670","Robert F. Kennedy Community High School","High School","675","0.79","0.89","0.7","0.9","0.84","0.91","Developing","Developing","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","Developing","Proficient","2019-10-01T00:00:00.000","2.82","2.85","0.444","0.556","0.08","0.172","0.027"
"26Q315","Business Technology Early College High School","High School","552","0.92","0.95","0.95","0.89","0.92","0.94","Proficient","Proficient","Developing","Well Developed","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2018-11-01T00:00:00.000","3.02","2.92","0.308","0.692","0.027","0.121","0.002"
"26Q415","Benjamin N. Cardozo High School","High School","3,432","0.88","0.88","0.81","0.82","0.77","0.8","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","2019-04-01T00:00:00.000","3.24","3.35","0.539","0.461","0.041","0.143","0.031"
"26Q430","Francis Lewis High School","High School","4,468","0.84","0.84","0.82","0.82","0.74","0.88","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2016-10-01T00:00:00.000","3.28","3.47","0.488","0.512","0.094","0.143","0.046"
"26Q435","Martin Van Buren High School","High School","1,151","0.7","0.84","0.66","No Data","No Data","0.77","Proficient","Developing","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Proficient","Well Developed","2018-05-01T00:00:00.000","2.73","2.55","0.446","0.554","0.139","0.141","0.035"
"26Q495","Bayside High School","High School","2,865","0.76","0.87","0.67","0.85","0.82","0.87","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Proficient","2017-03-01T00:00:00.000","3.09","3.22","0.483","0.517","0.069","0.151","0.04"
"26Q566","Queens High School of Teaching, Liberal Arts and t","High School","1,012","0.47","0.41","0.27","0.36","0.81","0.65","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","2018-04-01T00:00:00.000","2.87","2.65","0.524","0.476","0.024","0.184","0"
"27Q260","Frederick Douglass Academy VI High School","High School","321","0.76","0.83","0.81","0.8","0.77","0.84","Proficient","Proficient","Proficient","Proficient","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2017-05-01T00:00:00.000","2.31","1.98","0.442","0.558","0.321","0.243","0.04"
"27Q262","Channel View School for Research","High School","619","0.78","0.92","0.76","0.88","0.86","0.87","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-05-15T00:00:00.000","2.98","2.73","0.496","0.504","0.01","0.142","0.015"
"27Q302","Queens High School for Information, Research, and","High School","481","No Data","No Data","No Data","No Data","No Data","No Data","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2017-03-01T00:00:00.000","2.61","2.35","0.353","0.647","0.181","0.198","0.004"
"27Q308","Robert H. Goddard High School of Communication Art","High School","614","No Data","No Data","No Data","No Data","No Data","No Data","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2019-04-01T00:00:00.000","2.99","2.76","0.492","0.508","0.041","0.191","0.008"
"27Q309","Academy of Medical Technology: A College Board Sch","High School","423","No Data","No Data","No Data","No Data","No Data","No Data","Proficient","Developing","Proficient","Well Developed","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","2017-12-01T00:00:00.000","2.7","2.35","0.473","0.527","0.189","0.142","0.002"
"27Q314","Epic High School - South","High School","412","0.72","0.78","0.7","0.82","0.92","0.89","Proficient","Developing","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2018-05-01T00:00:00.000","2.67","2.42","0.449","0.551","0.075","0.182","0.044"
"27Q323","Scholars' Academy","High School","684","0.91","0.96","0.88","0.97","0.94","0.96","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-01-07T00:00:00.000","3.82","4.04","0.576","0.424","0","0.149","0.056"
"27Q324","Rockaway Park High School for Environmental Sustai","High School","288","0.79","0.59","0.77","0.64","0.79","0.78","Proficient","Developing","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Well Developed","Proficient","2017-11-01T00:00:00.000","2.52","2.16","0.417","0.583","0.132","0.316","0.035"
"27Q334","Epic High School - North","High School","444","0.78","0.63","0.8","0.71","0.86","0.83","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","2018-04-01T00:00:00.000","2.68","2.47","0.453","0.547","0.079","0.146","0.002"
"27Q351","Rockaway Collegiate High School","High School","327","No Data","No Data","No Data","No Data","No Data","No Data","Proficient","Developing","Proficient","Proficient","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","2018-03-01T00:00:00.000","2.45","2.17","0.468","0.532","0.122","0.278","0.07"
"27Q400","August Martin High School","High School","374","0.83","0.98","0.79","0.99","0.9","0.96","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","2018-04-01T00:00:00.000","2.44","2.24","0.414","0.586","0.048","0.23","0"
"27Q475","Richmond Hill High School","High School","1,613","0.72","0.8","0.67","0.93","0.84","0.88","Well Developed","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","2018-03-01T00:00:00.000","2.69","2.57","0.461","0.539","0.193","0.148","0.04"
"27Q480","John Adams High School","High School","2,492","0.75","0.8","0.69","0.81","0.88","0.87","Well Developed","Proficient","Proficient","Proficient","Well Developed","Well Developed","Proficient","Proficient","Well Developed","Well Developed","2017-05-01T00:00:00.000","2.72","2.5","0.466","0.534","0.122","0.134","0.04"
"27Q650","High School for Construction Trades, Engineering a","High School","1,093","0.77","0.87","0.74","0.84","0.87","0.86","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-03-13T00:00:00.000","3.26","3.31","0.355","0.645","0.016","0.167","0"
"28Q157","J.H.S. 157 Stephen A. Halsey","High School","36","0.9","0.85","0.87","0.89","0.91","0.93","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2020-03-01T00:00:00.000","3.01","2.85","0.528","0.472","0.028","0.306","0.139"
"28Q167","Metropolitan Expeditionary Learning School","High School","446","0.8","0.93","0.73","0.95","0.9","0.93","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2019-11-01T00:00:00.000","2.9","2.76","0.48","0.52","0.018","0.206","0.013"
"28Q284","York Early College Academy","High School","364","0.86","0.87","0.76","0.89","0.91","0.9","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2020-01-01T00:00:00.000","3.45","3.69","0.563","0.437","0.005","0.093","0.005"
"28Q310","Queens Collegiate: A College Board School","High School","401","0.74","0.71","0.71","0.8","0.89","0.84","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2018-04-01T00:00:00.000","2.81","2.7","0.506","0.494","0.112","0.122","0.007"
"28Q325","Hillside Arts & Letters Academy","High School","452","0.87","0.88","0.74","0.87","0.82","0.92","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2017-03-01T00:00:00.000","2.67","2.41","0.551","0.449","0.119","0.188","0.002"
"28Q328","High School for Community Leadership","High School","456","No Data","No Data","No Data","0.97","0.92","1","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2020-01-01T00:00:00.000","2.87","2.65","0.454","0.546","0.127","0.164","0"
"28Q350","Jamaica Gateway to the Sciences","High School","483","No Data","No Data","No Data","No Data","No Data","No Data","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2020-03-01T00:00:00.000","2.89","2.98","0.484","0.516","0.091","0.141","0.002"
"28Q440","Forest Hills High School","High School","3,705","0.72","0.78","0.69","0.82","0.81","0.86","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Proficient","Proficient","Well Developed","2017-05-01T00:00:00.000","3.17","3.23","0.508","0.492","0.082","0.167","0.034"
"28Q505","Hillcrest High School","High School","3,091","0.75","0.79","0.78","0.8","0.82","0.85","Developing","Proficient","Developing","Proficient","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2020-02-01T00:00:00.000","2.86","2.77","0.499","0.501","0.171","0.106","0.039"
"28Q620","Thomas A. Edison Career and Technical Education Hi","High School","2,224","0.75","0.8","0.74","0.81","0.81","0.85","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","2017-05-01T00:00:00.000","3.39","3.51","0.368","0.632","0.023","0.138","0.048"
"28Q680","Queens Gateway to Health Sciences Secondary School","High School","421","0.74","0.62","0.65","0.62","0.77","0.7","Well Developed","Proficient","Proficient","Well Developed","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","2017-12-01T00:00:00.000","3.49","3.54","0.584","0.416","0.007","0.128","0"
"28Q686","Queens Metropolitan High School","High School","1,144","0.77","0.87","0.75","0.82","0.72","0.83","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2018-05-01T00:00:00.000","3.07","2.9","0.497","0.503","0.038","0.182","0.052"
"28Q687","Queens High School for the Sciences at York Colleg","High School","480","0.82","0.66","0.77","0.55","0.81","0.73","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","2018-02-01T00:00:00.000","4.04","4.3","0.442","0.558","0","0.002","0"
"84K707","Brooklyn Prospect Charter School","High School","489","0.76","0.85","0.72","0.87","0.91","0.89","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","3.22","3.26","0.46","0.54","0.01","0.166","0.002"
"28Q690","High School for Law Enforcement and Public Safety","High School","395","0.73","0.78","0.69","0.83","0.82","0.83","Proficient","Proficient","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2017-03-01T00:00:00.000","2.59","2.4","0.511","0.489","0.061","0.218","0.094"
"28Q896","Young Women's Leadership School, Queens","High School","307","0.8","0.82","0.68","0.78","0.85","0.85","Well Developed","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2018-10-01T00:00:00.000","3.36","3.26","1","0","0.023","0.153","0.003"
"29Q243","Institute for Health Professions at Cambria Height","High School","449","0.83","0.96","0.78","0.97","0.86","0.95","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2017-01-01T00:00:00.000","2.86","2.58","0.659","0.341","0.1","0.107","0.011"
"29Q248","Queens Preparatory Academy","High School","277","0.68","0.68","0.71","0.7","0.86","0.86","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2017-03-01T00:00:00.000","2.49","2.2","0.422","0.578","0.105","0.162","0.007"
"29Q259","Pathways College Preparatory School: A College Boa","High School","339","0.7","0.77","0.66","0.8","0.9","0.9","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2019-03-01T00:00:00.000","2.84","2.47","0.469","0.531","0.027","0.156","0.027"
"29Q265","Excelsior Preparatory High School","High School","422","0.87","0.97","0.87","0.93","0.91","0.94","Proficient","Proficient","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Proficient","Well Developed","Proficient","2019-04-01T00:00:00.000","2.68","2.31","0.422","0.578","0.057","0.178","0.04"
"29Q272","George Washington Carver High School for the Scien","High School","390","0.97","0.96","0.93","0.95","0.81","0.96","Proficient","Developing","Developing","Well Developed","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2018-05-01T00:00:00.000","2.73","2.45","0.513","0.487","0.023","0.172","0.028"
"29Q283","Preparatory Academy for Writers: A College Board S","High School","347","No Data","No Data","No Data","0.86","0.81","0.87","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2018-11-01T00:00:00.000","2.9","2.7","0.524","0.476","0.035","0.144","0.026"
"29Q313","Benjamin Franklin High School for Finance & Inform","High School","413","0.75","0.68","0.65","0.66","0.9","0.74","Developing","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Developing","2016-11-01T00:00:00.000","2.65","2.41","0.3","0.7","0.111","0.177","0.039"
"29Q326","Cambria Heights Academy","High School","370","0.77","0.92","0.71","0.94","0.88","0.93","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Proficient","Proficient","Proficient","2018-04-01T00:00:00.000","2.64","2.39","0.424","0.576","0.081","0.189","0.008"
"29Q327","Eagle Academy for Young Men III","High School","224","0.72","0.76","0.65","0.85","0.94","0.84","Proficient","Proficient","Proficient","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","2018-05-01T00:00:00.000","2.59","2.44","0","1","0","0.214","0.022"
"29Q492","Mathematics, Science Research and Technology Magne","High School","401","0.8","0.85","0.76","0.88","0.88","0.89","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2017-05-01T00:00:00.000","2.6","2.44","0.349","0.651","0.17","0.105","0"
"29Q498","Humanities & Arts Magnet High School","High School","372","0.46","0.75","0.75","0.83","0.97","0.88","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","2018-02-01T00:00:00.000","2.65","2.27","0.543","0.457","0.097","0.164","0.005"
"30Q258","Energy Tech High School","High School","512","0.79","0.89","0.71","0.91","0.87","0.91","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","2019-01-01T00:00:00.000","2.99","3.02","0.229","0.771","0.045","0.162","0"
"30Q286","Young Women's Leadership School, Astoria","High School","316","0.88","0.8","0.76","0.65","0.91","0.7","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Proficient","Well Developed","Proficient","2017-01-01T00:00:00.000","3.33","3.32","1","0","0.025","0.168","0.003"
"30Q301","Academy for Careers in Television and Film","High School","548","0.82","0.88","0.84","0.94","0.91","0.97","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-11-17T00:00:00.000","3.08","2.91","0.484","0.516","0.035","0.206","0"
"30Q445","William Cullen Bryant High School","High School","2,287","0.71","0.66","0.65","0.67","0.82","0.75","Proficient","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2017-03-01T00:00:00.000","2.86","2.73","0.447","0.553","0.157","0.144","0.019"
"30Q450","Long Island City High School","High School","2,204","0.68","0.79","0.66","0.84","0.87","0.86","Well Developed","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","2018-03-01T00:00:00.000","2.81","2.65","0.499","0.501","0.1","0.171","0.006"
"30Q501","Frank Sinatra School of the Arts High School","High School","851","0.91","0.84","0.77","0.87","0.92","0.96","Well Developed","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","2019-04-01T00:00:00.000","3.57","3.57","0.677","0.323","0.005","0.186","0"
"30Q502","Information Technology High School","High School","976","0.74","0.77","0.7","0.78","0.89","0.84","Proficient","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2016-11-01T00:00:00.000","2.76","2.69","0.268","0.732","0.058","0.18","0.045"
"30Q555","Newcomers High School","High School","792","0.77","0.88","0.92","0.9","0.88","0.94","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-05-29T00:00:00.000","1.79","2.21","0.457","0.543","0.697","0.013","0"
"30Q575","Academy of American Studies","High School","1,025","0.79","0.68","0.77","0.68","0.79","0.8","Proficient","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","Proficient","Well Developed","Proficient","2018-03-01T00:00:00.000","3.5","3.56","0.596","0.404","0.016","0.076","0"
"30Q580","Baccalaureate School for Global Education","High School","436","0.88","0.82","0.81","0.78","0.85","0.88","Proficient","Proficient","Proficient","Developing","Proficient","Proficient","Proficient","Developing","Developing","Developing","2018-03-01T00:00:00.000","3.85","4.02","0.603","0.397","0.021","0.115","0.034"
