"dbn","school_name","school_type","enrollment","survey_pp_RI","survey_pp_CT","survey_pp_SE","survey_pp_ES","survey_pp_SF","survey_pp_TR","QR_1_1","QR_1_2","QR_2_2","QR_3_4","QR_4_2","QR_1_4","QR_1_3","QR_3_1","QR_4_1","QR_5_1","Dates_of_Review","rating_ela_grade_8_pct_rs","rating_mth_grade_8_pct_rs","gender_female_pct","gender_male_pct","ELL","IEP","cap_sc_pct"
"14K614","Young Women's Leadership School of Brooklyn","High School","261","0.77","0.82","0.66","0.83","0.9","0.88","Well Developed","Proficient","Developing","Well Developed","Developing","Well Developed","Well Developed","Proficient","Proficient","Proficient","2017-12-01T00:00:00.000","2.81","2.55","1","0","0.065","0.211","0.008"
"14K685","El Puente Academy for Peace and Justice","High School","226","0.77","0.83","0.72","0.86","0.88","0.86","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","2019-04-01T00:00:00.000","2.37","2.11","0.46","0.54","0.208","0.23","0.004"
"15K429","Digital Arts and Cinema Technology High School","High School","285","0.76","0.84","0.72","0.83","0.88","0.88","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","2016-12-01T00:00:00.000","2.87","2.69","0.439","0.561","0.011","0.207","0"
"15K448","Brooklyn Collaborative Studies","High School","359","0.61","0.86","0.64","0.95","0.9","0.9","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2016-01-13T00:00:00.000","2.98","2.68","0.521","0.479","0.058","0.251","0"
"15K462","John Jay School for Law","High School","439","No Data","No Data","No Data","0.83","0.76","0.93","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-04-01T00:00:00.000","2.9","2.6","0.604","0.396","0.036","0.194","0"
"15K463","Cyberarts Studio Academy","High School","270","0.7","0.8","0.58","0.88","0.92","0.89","Developing","Developing","Developing","Proficient","Developing","Developing","Proficient","Proficient","Proficient","Developing","2017-04-01T00:00:00.000","2.76","2.44","0.496","0.504","0.159","0.207","0.011"
"15K464","Park Slope Collegiate","High School","387","0.75","0.87","0.66","0.92","0.92","0.91","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Proficient","Proficient","Proficient","2018-12-01T00:00:00.000","2.79","2.63","0.429","0.571","0.062","0.233","0.003"
"15K497","The Boerum Hill School for International Studies","High School","328","0.81","0.81","0.57","0.79","0.87","0.85","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2018-01-01T00:00:00.000","2.79","2.57","0.503","0.497","0.095","0.195","0"
"15K519","Cobble Hill School of American Studies","High School","512","0.92","0.91","0.91","0.95","0.95","0.99","Well Developed","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2017-11-01T00:00:00.000","2.75","2.43","0.555","0.445","0.098","0.178","0.002"
"15K592","Khalil Gibran International Academy","High School","189","0.66","0.81","0.65","0.9","0.78","0.94","Proficient","Proficient","Proficient","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-04-21T00:00:00.000","2.61","2.55","0.434","0.566","0.365","0.206","0.005"
